kön,ålder,2020
män,20 år,100.7
män,21 år,109
män,22 år,143
män,23 år,181.8
män,24 år,219.8
män,25 år,261.3
män,26 år,294.3
män,27 år,317.6
män,28 år,333.9
män,29 år,346.4
män,30 år,357.9
män,31 år,363.6
män,32 år,371.2
män,33 år,377.2
män,34 år,382.9
män,35 år,387
män,36 år,391.8
män,37 år,396.6
män,38 år,401.4
män,39 år,410.6
män,40 år,414.6
män,41 år,420.5
män,42 år,423.6
män,43 år,427.4
män,44 år,432.1
män,45 år,437
män,46 år,439.8
män,47 år,442
män,48 år,442.3
män,49 år,444.3
män,50 år,438.6
män,51 år,436.7
män,52 år,434.2
män,53 år,434.6
män,54 år,428.2
män,55 år,424.2
män,56 år,420.4
män,57 år,411.7
män,58 år,407.3
män,59 år,404.5
män,60 år,395.3
män,61 år,390.5
män,62 år,391.3
män,63 år,385.1
män,64 år,376.6
kvinnor,20 år,105.5
kvinnor,21 år,107.3
kvinnor,22 år,108.6
kvinnor,23 år,127.2
kvinnor,24 år,157.2
kvinnor,25 år,197.1
kvinnor,26 år,229.1
kvinnor,27 år,249
kvinnor,28 år,265.4
kvinnor,29 år,273.8
kvinnor,30 år,278
kvinnor,31 år,282.2
kvinnor,32 år,287.5
kvinnor,33 år,293.6
kvinnor,34 år,298.5
kvinnor,35 år,304.1
kvinnor,36 år,310.2
kvinnor,37 år,317.8
kvinnor,38 år,327.3
kvinnor,39 år,333.7
kvinnor,40 år,340.9
kvinnor,41 år,350
kvinnor,42 år,353.2
kvinnor,43 år,359.4
kvinnor,44 år,364.1
kvinnor,45 år,367
kvinnor,46 år,370.7
kvinnor,47 år,373.5
kvinnor,48 år,373.8
kvinnor,49 år,374.3
kvinnor,50 år,369.2
kvinnor,51 år,369.2
kvinnor,52 år,367.6
kvinnor,53 år,367.4
kvinnor,54 år,363.9
kvinnor,55 år,359.2
kvinnor,56 år,358.1
kvinnor,57 år,353.1
kvinnor,58 år,349.8
kvinnor,59 år,347.9
kvinnor,60 år,340.7
kvinnor,61 år,337.7
kvinnor,62 år,335
kvinnor,63 år,325
kvinnor,64 år,310.5
